epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0301,1.17552,2.7907,1.45412,0.00426,0.95833,0.76598,0.39376,0.9895,2.80703,1.37245,0.00014,0.00014,0.00014
2,63.5595,1.00151,2.32536,1.28621,0.00444,1,0.93655,0.56898,0.84685,2.64233,1.13263,0.0002703,0.0002703,0.0002703
3,91.7013,0.99697,1.94492,1.252,0.00444,1,0.90499,0.57094,0.86275,2.58736,1.16416,0.00036892,0.00036892,0.00036892
4,118.667,1.02451,1.59511,1.23892,0.00444,0.95833,0.90625,0.53519,1.02097,2.53355,1.2574,0.00043586,0.00043586,0.00043586
5,146.208,0.96528,1.52788,1.28854,1,0.25855,0.93621,0.58545,0.97663,2.39789,1.27507,0.00047112,0.00047112,0.00047112
6,174.572,0.99218,1.39475,1.26623,1,0.43925,0.90358,0.58473,1.08229,2.29643,1.381,0.0004747,0.0004747,0.0004747
7,202.918,0.98694,1.322,1.22837,1,0.55723,0.85683,0.5206,1.06787,2.19977,1.36421,0.0004466,0.0004466,0.0004466
8,232.17,0.91655,1.22828,1.1888,0.99434,0.625,0.86491,0.54636,1.06082,2.10462,1.33569,0.00038682,0.00038682,0.00038682
9,260.146,0.90224,1.20491,1.21816,0.95101,0.80935,0.89042,0.57774,1.0396,1.8879,1.31724,0.00029536,0.00029536,0.00029536
10,287.181,0.88563,1.17698,1.17851,0.87407,0.79167,0.90384,0.60243,1.05148,1.7594,1.30723,0.00017222,0.00017222,0.00017222
